URL,Issue,Severity
/about,"Title Too Long",Medium
/about,"Description Too Long",Medium
/appointments,"Title Too Long",Medium
/best-neurosurgeon-in-hyderabad,"Title Too Long",Medium
/blog,"Title Too Long",Medium
/blog/awake-craniotomy-guide,"Title Too Long",Medium
/blog/brain-tumor-surgery-cost-hyderabad,"Title Too Long",Medium
/blog/day-care-endoscopic-spine-surgery-eligibility,"Title Too Long",Medium
/blog/day-care-spine-surgery-insurance-hyderabad,"Title Too Long",Medium
/blog/endoscopic-cervical-spine-surgery-hyderabad,"Title Too Long",Medium
/blog/endoscopic-discectomy-cost-hyderabad,"Title Too Long",Medium
/blog/endoscopic-spine-surgery-cost-hyderabad,"Title Too Long",Medium
/blog/endoscopic-vs-microdiscectomy-hyderabad,"Title Too Long",Medium
/blog/how-much-does-brain-surgery-cost-hyderabad,"Title Too Long",Medium
/blog/mvd-vs-radiosurgery-trigeminal-neuralgia,"Title Too Long",Medium
/blog/return-to-work-after-endoscopic-discectomy-hyderabad,"Title Too Long",Medium
/blog/sciatica-pain-management-hyderabad,"Title Too Long",Medium
/blog/spinal-fusion-cost-hyderabad,"Title Too Long",Medium
/blog/spine-health-maintenance-hyderabad,"Title Too Long",Medium
/blog/spine-surgery-recovery-timeline-hyderabad,"Title Too Long",Medium
/blog/when-to-worry-about-back-pain-neurosurgeon-hyderabad,"Title Too Long",Medium
/blog/world-stroke-day-2025-hyderabad-stroke-code,"Title Too Long",Medium
/brain-surgery,"Title Too Long",Medium
/brain-surgery,"Description Too Long",Medium
/conditions,"Title Too Long",Medium
/conditions/acoustic-neuroma-treatment-hyderabad,"Title Too Long",Medium
/conditions/brain-aneurysm-treatment-hyderabad,"Title Too Long",Medium
/conditions/brain-bleed-evacuation-hyderabad,"Title Too Long",Medium
/conditions/brain-bleed-evacuation-hyderabad,"Description Too Long",Medium
/conditions/brain-tumor-surgery-hyderabad,"Title Too Long",Medium
/conditions/carpal-tunnel-syndrome-hyderabad,"Title Too Long",Medium
/conditions/cervical-myelopathy-decompression-hyderabad,"Title Too Long",Medium
/conditions/cervical-myelopathy-decompression-hyderabad,"Description Too Long",Medium
