file,type,check,status,details
app/api/og/route.tsx,perf,img_tag,warn,"Using <img> tag directly. Check if next/image is possible."
app/api/og/route.tsx,perf,google_fonts_link,warn,"Using Google Fonts via link tag. Use next/font."
app/admin/appointments/page.tsx,onpage,metadata_missing,error,"No metadata export found."
app/appointments/page.tsx,onpage,h1_missing,warn,"No <h1> tag found in page file."
app/auth/callback/page.tsx,onpage,h1_missing,warn,"No <h1> tag found in page file."
app/blog/[slug]/page.tsx,onpage,h1_missing,warn,"No <h1> tag found in page file."
app/blog/page/[page]/page.tsx,onpage,h1_missing,warn,"No <h1> tag found in page file."
app/brain-tumor-surgery/page.tsx,onpage,metadata_missing,error,"No metadata export found."
app/brain-tumor-surgery/page.tsx,onpage,h1_missing,warn,"No <h1> tag found in page file."
app/knowledge-base/page.tsx,onpage,metadata_missing,error,"No metadata export found."
app/locations/neurosurgeon-near-jubilee-hills/page.tsx,onpage,h1_missing,warn,"No <h1> tag found in page file."
app/utm-links/page.tsx,onpage,metadata_missing,error,"No metadata export found."
app/admin/appointments/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/ai-chat/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/appointments/thank-you/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/auth/callback/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/[slug]/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/does-endoscopic-spine-surgery-work-for-sciatica-hyderabad/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/page/[page]/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/sciatica-pain-management-hyderabad/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/spine-health-maintenance-hyderabad/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/spine-surgery-recovery-timeline-hyderabad/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/blog/when-to-worry-about-back-pain-neurosurgeon-hyderabad/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/brain-tumor-surgery/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/conditions/[conditionSlug]/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/conditions/a-z/[slug]/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/conditions/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/content-integrity/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/cookies/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/disclaimer/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/disease-guides/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/drafts/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/editorial-policy/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/force-cache-clear/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/knowledge-base/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/locations/neurosurgeon-near-jubilee-hills/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/medical-disclaimer/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/near/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/privacy/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/research/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/services/epilepsy-surgery-hyderabad/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/symptoms-checker/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/technology-facilities/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/terms/page.tsx,schema,schema_missing,warn,"No Schema detected."
app/utm-links/page.tsx,schema,schema_missing,warn,"No Schema detected."
