URL,Issue,Severity,Details
https://www.drsayuj.info/conditions/slip-disc-treatment-hyderabad,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/conditions/slip-disc-treatment-hyderabad/
https://www.drsayuj.info/technology-facilities,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/technology-facilities/
https://www.drsayuj.info/best-neurosurgeon-in-hyderabad,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/best-neurosurgeon-in-hyderabad/
https://www.drsayuj.info/,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info
https://www.drsayuj.info/conditions/scoliosis-treatment-hyderabad,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/conditions/scoliosis-treatment-hyderabad/
https://www.drsayuj.info/conditions/spondylolisthesis-treatment-hyderabad,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/conditions/spondylolisthesis-treatment-hyderabad/
https://www.drsayuj.info/conditions/brain-tumor-surgery-hyderabad,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/conditions/brain-tumor-symptoms-hyderabad
https://www.drsayuj.info/about#credentials,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/about
https://www.drsayuj.info/disease-guides,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/disease-guides/
https://www.drsayuj.info/emergency-rehabilitation,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/emergency-rehabilitation/
https://www.drsayuj.info/appointments?utm_source=site&utm_medium=cta&utm_campaign=footer_nap,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/appointments
https://www.drsayuj.info/appointments?utm_source=site&utm_medium=cta&utm_campaign=nap_block,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/appointments
https://www.drsayuj.info/conditions/a-z/acoustic-neuroma,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/conditions/acoustic-neuroma-treatment-hyderabad
https://www.drsayuj.info/conditions/a-z/brachial-plexus,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/services/peripheral-nerve-surgery-hyderabad
https://www.drsayuj.info/conditions/a-z/aneurysm,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/conditions/brain-aneurysm-treatment-hyderabad
https://www.drsayuj.info/conditions/a-z/brain-tumor,Canonical Mismatch,Medium,Canonical points to https://www.drsayuj.info/services/brain-tumor-surgery-hyderabad
