keyword,intent,funnel,geo,cluster_label,recommended_target,difficulty,priority,serp_notes
"spine surgery cost in hyderabad",Commercial,BOFU,HYD,HYD | BOFU | SPINE | cost | general,"/services/spine-surgery-cost-hyderabad",Med,90,"Snippet, Ads"
"microdiscectomy cost hyderabad",Commercial,BOFU,HYD,HYD | BOFU | SPINE | cost | microdiscectomy,"/services/microdiscectomy-surgery-hyderabad",Med,85,"Snippet"
"endoscopic spine surgery vs open surgery",Informational,MOFU,NONE,NONE | MOFU | SPINE | comparison | endoscopic-vs-open,"/blog/endoscopic-vs-microdiscectomy-hyderabad",Med,75,"PAA, Video"
"neurosurgeon begumpet",Transactional,BOFU,HYD,HYD | BOFU | LOCATION | neurosurgeon | begumpet,"/locations/neurosurgeon-begumpet",Low,80,"Local Pack"
"best neurosurgeon near begumpet",Transactional,BOFU,HYD,HYD | BOFU | LOCATION | neurosurgeon | begumpet,"/locations/neurosurgeon-begumpet",Low,70,"Local Pack"
"neurosurgeon ameerpet",Transactional,BOFU,HYD,HYD,HYD | BOFU | LOCATION | neurosurgeon | ameerpet,"/locations/neurosurgeon-ameerpet",Low,75,"Local Pack"
"spine surgeon ameerpet",Transactional,BOFU,HYD,HYD,HYD | BOFU | LOCATION | neurosurgeon | ameerpet,"/locations/neurosurgeon-ameerpet",Low,70,"Local Pack"
"brain tumor surgery cost hyderabad",Commercial,BOFU,HYD,HYD | BOFU | BRAIN | cost | tumor,"/services/brain-tumor-surgery-hyderabad",High,85,"Ads, Snippet"
"second opinion spine surgery hyderabad",Commercial,BOFU,HYD,HYD | BOFU | SPINE | second-opinion | general,"/contact",Low,60,""
"best hospital for spine surgery in hyderabad",Commercial,BOFU,HYD,HYD | BOFU | HOSPITAL | best-hospital | spine,"/",High,90,"Local Pack, Aggregators"
"sciatica treatment cost hyderabad",Commercial,BOFU,HYD,HYD | BOFU | SPINE | cost | sciatica,"/conditions/sciatica-pain-treatment-hyderabad",Med,70,"Snippet"
"recovery time for lumbar decompression surgery",Informational,MOFU,NONE,NONE | MOFU | SPINE | recovery | decompression,"/blog/endoscopic-spine-surgery-recovery-timeline",Med,65,"PAA"
