keyword,intent,funnel,geo,cluster_label,recommended_target,difficulty,priority,serp_notes,needs_manual_validation
endoscopic spine surgery hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | endoscopic-spine-surgery | main,/services/minimally-invasive-spine-surgery,High,95,Local Pack,
best spine surgeon hyderabad,Commercial,BOFU,HYD,HYD | BOFU | BRAND | best-surgeon | main,/,High,95,Local Pack,
neurosurgeon hyderabad,Commercial,BOFU,HYD,HYD | BOFU | BRAND | neurosurgeon | main,/,High,95,Local Pack,
slip disc surgery cost hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | slip-disc | cost,/services/slip-disc-surgery-cost-hyderabad,Med,85,Ads + Snippet,
laminectomy vs microdiscectomy recovery time,Informational,MOFU,NONE,NONE | MOFU | SPINE | laminectomy | comparison,/blog/microdiscectomy-vs-laminectomy-recovery-comparison,Med,70,Snippet,
microdiscectomy vs laminectomy cost hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | laminectomy | cost,/blog/microdiscectomy-vs-laminectomy-recovery-comparison,Low,75,,
lumbar laminectomy surgery hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | laminectomy | surgery,/services/lumbar-laminectomy-surgery-hyderabad,Med,80,Local Pack,True
laminectomy recovery time,Informational,TOFU,NONE,NONE | TOFU | SPINE | laminectomy | recovery,/blog/microdiscectomy-vs-laminectomy-recovery-comparison,Med,65,People Also Ask,
spine surgery cost hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | cost | main,/services/spine-surgery-cost-hyderabad,High,90,Ads,
awake spine surgery hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | awake-surgery | main,/services/awake-spine-surgery-hyderabad,Low,85,Video,
endoscopic discectomy vs open surgery,Informational,MOFU,NONE,NONE | MOFU | SPINE | endoscopic | comparison,/blog/endoscopic-vs-microdiscectomy-hyderabad,Med,75,Snippet,
best neurosurgeon for brain tumor hyderabad,Commercial,BOFU,HYD,HYD | BOFU | BRAIN | tumor | best-doctor,/conditions/brain-tumor-surgery-hyderabad,Med,80,Local Pack,
spine fusion surgery cost hyderabad,Commercial,BOFU,HYD,HYD | BOFU | SPINE | fusion | cost,/blog/spinal-fusion-cost-hyderabad,Med,75,,
minimally invasive spine surgery hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | miss | main,/services/minimally-invasive-spine-surgery,High,90,Local Pack,
endoscopic discectomy hyderabad,Transactional,BOFU,HYD,HYD | BOFU | SPINE | discectomy | main,/services/endoscopic-discectomy-hyderabad,Med,85,Local Pack,
