keyword,intent,funnel,geo,cluster,target,difficulty,priority,serp_notes,needs_manual_validation
vertebroplasty hyderabad,Transactional,BOFU,HYD,SPINE,vertebroplasty-kyphoplasty-hyderabad,Med,90,Local Pack,No
kyphoplasty hyderabad,Transactional,BOFU,HYD,SPINE,vertebroplasty-kyphoplasty-hyderabad,Med,90,,No
cement spine surgery hyderabad,Commercial,BOFU,HYD,SPINE,vertebroplasty-kyphoplasty-hyderabad,Low,80,,No
osteoporotic spine fracture treatment hyderabad,Commercial,MOFU,HYD,SPINE,osteoporotic-spine-fracture-hyderabad,Med,85,,No
vertebroplasty cost in hyderabad,Transactional,BOFU,HYD,SPINE,vertebroplasty-kyphoplasty-hyderabad,High,85,Snippet,No
best doctor for kyphoplasty hyderabad,Transactional,BOFU,HYD,SPINE,vertebroplasty-kyphoplasty-hyderabad,High,88,Local Pack,No
spine fracture surgery hyderabad,Commercial,MOFU,HYD,SPINE,vertebroplasty-kyphoplasty-hyderabad,Med,75,,No
lumbar compression fracture surgery,Informational,TOFU,NONE,SPINE,osteoporotic-spine-fracture-hyderabad,Low,60,PAA,No
spine cement injection recovery time,Informational,TOFU,NONE,SPINE,vertebroplasty-kyphoplasty-hyderabad,Low,50,,No
neurosurgeon for spine fracture,Commercial,MOFU,HYD,NEURO,vertebroplasty-kyphoplasty-hyderabad,Med,70,,No
