Keyword,Intent,Funnel,Geo,Cluster,Target Page,Difficulty,Priority,SERP Features,Needs Manual Validation
cervical disc replacement hyderabad,Transactional,BOFU,HYD,CERVICAL,NEW: /services/cervical-disc-replacement-hyderabad,Med,90,Local Pack + Ads,No
artificial disc replacement india,Commercial,BOFU,IN,CERVICAL,NEW: /services/cervical-disc-replacement-hyderabad,High,75,Snippets,No
cervical arthroplasty cost hyderabad,Commercial,BOFU,HYD,CERVICAL,NEW: /services/cervical-disc-replacement-hyderabad,Med,85,People Also Ask,Yes
neck surgery without fusion,Informational,MOFU,NONE,CERVICAL,NEW: /services/cervical-disc-replacement-hyderabad,Med,80,Video,No
neurosurgeon manikonda,Transactional,BOFU,HYD,LOCATION,/locations/neurosurgeon-manikonda,Low,85,Local Pack,No
best spine surgeon in manikonda,Transactional,BOFU,HYD,LOCATION,/locations/neurosurgeon-manikonda,Low,80,Map,No
endoscopic discectomy cost hyderabad,Commercial,BOFU,HYD,SPINE,/services/spine-surgery-cost-hyderabad,Med,88,Snippet,Yes
stitchless spine surgery cost,Commercial,BOFU,HYD,SPINE,/services/spine-surgery-cost-hyderabad,Med,70,Ads,No
back pain doctor gachibowli,Transactional,MOFU,HYD,LOCATION,/locations/neurosurgeon-gachibowli,Med,75,Local Pack,No
sciatica specialist gachibowli,Transactional,BOFU,HYD,LOCATION,/locations/neurosurgeon-gachibowli,Low,80,Map,No
