keyword,intent,funnel,geo,cluster_label,recommended_target,difficulty,priority,serp_notes,manual_validation
"endoscopic spine surgery hyderabad",Transactional,BOFU,HYD,HYD | BOFU | SPINE | endoscopic-spine-surgery | core,/services/minimally-invasive-spine-surgery,High,100,Local Pack + Ads,
"best spine surgeon hyderabad",Transactional,BOFU,HYD,HYD | BOFU | BRAND | best-surgeon | general,/,High,95,Local Pack,
"neurosurgeon hyderabad",Transactional,BOFU,HYD,HYD | BOFU | BRAND | neurosurgeon | general,/,High,90,Local Pack,
"slip disc surgery hyderabad",Transactional,BOFU,HYD,HYD | BOFU | SPINE | slip-disc | surgery,/conditions/slip-disc-treatment-hyderabad,Med,85,Snippet,
"micro lumbar disc surgeries",Commercial,MOFU,HYD,HYD | BOFU | SPINE | microdiscectomy | general,/services/endoscopic-discectomy-hyderabad,Med,70,,
"disc bulge treatment hyderabad",Commercial,MOFU,HYD,HYD | MOFU | SPINE | slip-disc | treatment,/conditions/slip-disc-treatment-hyderabad,Med,75,,
"pediatric neurosurgeon hyderabad",Transactional,BOFU,HYD,HYD | BOFU | NEURO | pediatric | surgeon,/pediatric-neurosurgery,Low,60,Gap in map,
"spinal cord tumor surgery hyderabad",Transactional,BOFU,HYD,HYD | BOFU | SPINE | spine-tumor | surgery,/conditions/spine-tumor-surgery-hyderabad,High,65,,
"keyhole spine surgery hyderabad",Transactional,BOFU,HYD,HYD | BOFU | SPINE | uniportal | keyhole,/services/uniportal-endoscopic-spine-surgery-hyderabad,Low,55,,
"cervical radiculopathy treatment hyderabad",Commercial,MOFU,HYD,HYD | MOFU | SPINE | cervical | radiculopathy,NEW: /conditions/cervical-radiculopathy-treatment-hyderabad,Med,50,,YES
"lumbar canal stenosis treatment without surgery",Informational,TOFU,HYD,HYD | TOFU | SPINE | stenosis | non-surgical,/conditions/spinal-stenosis-treatment-hyderabad,Med,45,Featured Snippet,
