keyword,intent,funnel,geo,cluster,recommended_target,difficulty,priority,serp_notes
microdiscectomy surgery hyderabad,Transactional,BOFU,HYD,SPINE-MICRO,NEW: /services/microdiscectomy-surgery-hyderabad,Med,90,Local Pack
microscopic spine surgery hyderabad,Transactional,BOFU,HYD,SPINE-MICRO,NEW: /services/microdiscectomy-surgery-hyderabad,Med,85,Ads + Local
lumbar microdiscectomy recovery,Informational,MOFU,NONE,SPINE-MICRO,/blog/microdiscectomy-recovery-guide,Low,60,People Also Ask
microdiscectomy vs endoscopic spine surgery,Commercial,MOFU,NONE,SPINE-COMPARE,/blog/endoscopic-vs-microdiscectomy-hyderabad,Med,75,Featured Snippet
best surgeon for microdiscectomy in hyderabad,Transactional,BOFU,HYD,SPINE-MICRO,NEW: /services/microdiscectomy-surgery-hyderabad,High,95,Local Pack
acdf surgery hyderabad,Transactional,BOFU,HYD,SPINE-CERVICAL,/services/cervical-disc-replacement-hyderabad,High,80,Ads
anterior cervical discectomy and fusion cost,Commercial,BOFU,HYD,SPINE-CERVICAL,/services/spine-surgery-cost-hyderabad,Med,70,Snippet
spine surgery insurance hyderabad,Informational,MOFU,HYD,INSURANCE,/blog/day-care-spine-surgery-insurance-hyderabad,Low,65,PAA
microscopic lumbar discectomy,Transactional,BOFU,HYD,SPINE-MICRO,NEW: /services/microdiscectomy-surgery-hyderabad,Med,85,
tube retractor spine surgery,Informational,MOFU,NONE,SPINE-MICRO,NEW: /services/microdiscectomy-surgery-hyderabad,Low,40,
