Keyword,Intent,Volume,Difficulty,Current_Rank,Target_URL,Cluster,Funnel,Geo,Priority,Notes
neurosurgeon hyderabad,Transactional,High,High,1,/,HOME,BOFU,HYD,100,Core keyword
best spine surgeon hyderabad,Transactional,High,High,2,/,HOME,BOFU,HYD,100,Core keyword
endoscopic spine surgery hyderabad,Commercial,Med,High,1,/services/minimally-invasive-spine-surgery,SPINE,BOFU,HYD,90,Key service
spine surgery cost hyderabad,Commercial,Med,High,3,/services/spine-surgery-cost-hyderabad,COST,BOFU,HYD,85,High intent
sciatica treatment hyderabad,Transactional,High,Med,2,/conditions/sciatica-pain-treatment-hyderabad,SCIATICA,BOFU,HYD,95,High volume condition
sciatica exercises hyderabad,Informational,Med,Low,1,/blog/sciatica-pain-relief-exercises-hyderabad,SCIATICA,TOFU,HYD,70,Awareness
sciatica exercises to avoid,Informational,Med,Low,-,/blog/sciatica-exercises-to-avoid-hyderabad,SCIATICA,TOFU,NONE,80,NEW TARGET: Gap Analysis
exercises that make sciatica worse,Informational,Low,Low,-,/blog/sciatica-exercises-to-avoid-hyderabad,SCIATICA,TOFU,NONE,75,NEW TARGET: LSI
sciatica mistakes to avoid,Informational,Low,Low,-,/blog/sciatica-exercises-to-avoid-hyderabad,SCIATICA,TOFU,NONE,75,NEW TARGET: LSI
safe exercises for sciatica,Informational,Med,Low,-,/blog/sciatica-exercises-to-avoid-hyderabad,SCIATICA,TOFU,NONE,70,NEW TARGET: LSI
brain tumor symptoms,Informational,High,Med,2,/blog/headache-vs-brain-tumor-warning-signs,BRAIN,TOFU,NONE,60,Monitoring
cervical spondylosis exercises,Informational,High,Med,4,/blog/cervical-spondylosis-neck-pain-hyderabad,CERVICAL,TOFU,NONE,65,Needs refresh
laminectomy recovery time,Informational,Med,Med,1,/blog/microdiscectomy-vs-laminectomy-recovery-comparison,RECOVERY,MOFU,NONE,50,Stable
spine surgery insurance coverage hyderabad,Commercial,Low,Low,1,/blog/spine-surgery-insurance-coverage-hyderabad,INSURANCE,BOFU,HYD,80,Trust builder
pediatric neurosurgeon hyderabad,Transactional,Med,Low,1,/pediatric-neurosurgery,PEDIATRIC,BOFU,HYD,85,Niche dominance
neurosurgeon jubilee hills,Transactional,Med,Low,1,/locations/neurosurgeon-jubilee-hills,LOCATION,BOFU,HYD,90,Local SEO
neurosurgeon gachibowli,Transactional,Med,Med,2,/locations/neurosurgeon-gachibowli,LOCATION,BOFU,HYD,90,Local SEO
neurosurgeon kondapur,Transactional,Med,Low,1,/locations/neurosurgeon-kondapur,LOCATION,BOFU,HYD,85,Local SEO
neurosurgeon manikonda,Transactional,Low,Low,1,/locations/neurosurgeon-manikonda,LOCATION,BOFU,HYD,80,Local SEO
neurosurgeon miyapur,Transactional,Med,Low,1,/locations/neurosurgeon-miyapur,LOCATION,BOFU,HYD,85,Local SEO
